municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Robledillo de la Jara                       ;2020/04/13 07:00:00;;1851,85;;1851,85;1245
La Serna del Monte                          ;2020/04/13 07:00:00;;0;;0;1381
Colmenar de Oreja                           ;2020/04/13 07:00:00;9;125,05;21;291,79;437
Rozas de Puerto Real                        ;2020/04/13 07:00:00;;255,1;;255,1;1283
Valdemanco                                  ;2020/04/13 07:00:00;;135,14;;135,14;1586
Brunete                                     ;2020/04/13 07:00:00;10;88,56;50;442,79;262
Titulcia                                    ;2020/04/13 07:00:00;;100,6;;503,02;1473
Villa del Prado                             ;2020/04/13 07:00:00;28;424,44;53;803,4;1718
Lozoyuela-Navas-Sieteiglesias               ;2020/04/13 07:00:00;;261,55;;261,55;9015
Quijorna                                    ;2020/04/13 07:00:00;;254,71;12;611,31;1198
Valdemoro                                   ;2020/04/13 07:00:00;91;119,11;558;730,39;1610
Tres Cantos                                 ;2020/04/13 07:00:00;138;287,2;254;528,62;9036
Torrelaguna                                 ;2020/04/13 07:00:00;9;177,87;14;276,68;1512
Rivas-Vaciamadrid                           ;2020/04/13 07:00:00;168;195,05;444;515,49;1230
El Atazar                                   ;2020/04/13 07:00:00;;0;;0;164
Pedrezuela                                  ;2020/04/13 07:00:00;9;162,63;15;271,05;1087
Santa María de la Alameda                   ;2020/04/13 07:00:00;;105,71;;105,71;1356
Horcajuelo de la Sierra                     ;2020/04/13 07:00:00;;0;;0;719
Arroyomolinos                               ;2020/04/13 07:00:00;57;218,48;126;482,96;151
Moralzarzal                                 ;2020/04/13 07:00:00;26;199,66;52;399,32;908
Canencia                                    ;2020/04/13 07:00:00;;271;;271;344
Villarejo de Salvanés                       ;2020/04/13 07:00:00;12;157,46;33;433,01;1809
Serranillos del Valle                       ;2020/04/13 07:00:00;11;289,55;25;658,07;1408
Villaviciosa de Odón                        ;2020/04/13 07:00:00;40;144,2;148;533,53;1816
Camarma de Esteruelas                       ;2020/04/13 07:00:00;7;98,36;35;491,78;323
Robledo de Chavela                          ;2020/04/13 07:00:00;9;238,73;12;318,3;1258
Patones                                     ;2020/04/13 07:00:00;;655,02;;873,36;1071
Navalagamella                               ;2020/04/13 07:00:00;;44,44;;222,22;954
Rascafría                                   ;2020/04/13 07:00:00;;203,67;;339,44;1202
El Boalo                                    ;2020/04/13 07:00:00;14;221,34;24;379,45;231
Majadahonda                                 ;2020/04/13 07:00:00;99;126,97;337;432,22;800
Batres                                      ;2020/04/13 07:00:00;;224,72;8;1797,75;170
Alcobendas                                  ;2020/04/13 07:00:00;226;186,45;494;407,54;66
Alcalá de Henares                           ;2020/04/13 07:00:00;463;221,48;2026;969,16;53
Colmenar Viejo                              ;2020/04/13 07:00:00;146;289,67;251;497,99;455
San Fernando de Henares                     ;2020/04/13 07:00:00;117;278,39;301;716,21;1300
Villalbilla                                 ;2020/04/13 07:00:00;11;98,43;81;724,83;1723
El Escorial                                 ;2020/04/13 07:00:00;15;90,24;47;282,74;549
Colmenar del Arroyo                         ;2020/04/13 07:00:00;;0;;259,24;421
Torrejón de Ardoz                           ;2020/04/13 07:00:00;185;133,78;808;584,28;1489
Piñuécar-Gandullas                          ;2020/04/13 07:00:00;;0;;0;1147
Brea de Tajo                                ;2020/04/13 07:00:00;;272,11;;408,16;259
El Molar                                    ;2020/04/13 07:00:00;14;145,92;25;260,58;869
Belmonte de Tajo                            ;2020/04/13 07:00:00;;0;;144,61;199
Torres de la Alameda                        ;2020/04/13 07:00:00;19;230,58;57;691,75;1548
Somosierra                                  ;2020/04/13 07:00:00;;1612,9;;1612,9;1436
Alpedrete                                   ;2020/04/13 07:00:00;27;187,07;72;498,86;105
Orusco de Tajuña                            ;2020/04/13 07:00:00;8;724,64;16;1449,28;1028
La Hiruela                                  ;2020/04/13 07:00:00;;9090,91;;9090,91;698
Cervera de Buitrago                         ;2020/04/13 07:00:00;;925,93;;1851,85;395
Getafe                                      ;2020/04/13 07:00:00;359;187,57;873;456,12;650
Ribatejada                                  ;2020/04/13 07:00:00;;227,79;;455,58;1224
Villaconejos                                ;2020/04/13 07:00:00;;0;8;180,34;1701
Valdetorres de Jarama                       ;2020/04/13 07:00:00;;100,58;12;301,73;1646
Madrid-Retiro                               ;2020/04/12 07:00:00;376;389,11;1090;1127,99;79603
Madrid-Salamanca                            ;2020/04/12 07:00:00;382;242,78;1137;722,63;79604
Madrid-Centro                               ;2020/04/12 07:00:00;313;220,07;784;551,22;79601
Madrid-Arganzuela                           ;2020/04/12 07:00:00;419;234,86;1138;637,89;79602
Madrid-Chamartín                            ;2020/04/12 07:00:00;433;294,79;1118;761,14;79605
Madrid-Tetuán                               ;2020/04/12 07:00:00;685;419,02;1553;949,97;79606
Madrid-Chamberí                             ;2020/04/12 07:00:00;385;259,29;1005;676,85;79607
Madrid-Fuencarral-El Pardo                  ;2020/04/12 07:00:00;965;429,77;2131;949,05;79608
Madrid-Moncloa-Aravaca                      ;2020/04/12 07:00:00;325;256,14;845;665,96;79609
Madrid-Latina                               ;2020/04/12 07:00:00;696;278,88;1880;753,29;79610
Madrid-Carabanchel                          ;2020/04/12 07:00:00;593;240,65;1809;734,12;79611
Madrid-Usera                                ;2020/04/12 07:00:00;327;220,27;1064;716,73;79612
Madrid-Puente de Vallecas                   ;2020/04/12 07:00:00;863;337,46;2334;912,66;79613
Madrid-San Blas - Canillejas                ;2020/04/12 07:00:00;399;287,31;1067;768,32;79620
Madrid-Barajas                              ;2020/04/12 07:00:00;126;239,18;332;630,21;79621
Madrid-Moratalaz                            ;2020/04/12 07:00:00;391;298,11;1020;777,68;79614
Madrid-Ciudad Lineal                        ;2020/04/12 07:00:00;641;242,2;1596;603,05;79615
Madrid-Hortaleza                            ;2020/04/12 07:00:00;482;228,14;1310;620,04;79616
Madrid-Villaverde                           ;2020/04/12 07:00:00;318;199,95;1069;672,15;79617
Madrid-Villa de Vallecas                    ;2020/04/12 07:00:00;277;259,78;989;927,52;79618
Madrid-Vicálvaro                            ;2020/04/12 07:00:00;237;450,17;626;1189,05;79619
Pozuelo de Alarcón                          ;2020/04/12 07:00:00;112;126,84;442;500,57;1150
Alcorcón                                    ;2020/04/12 07:00:00;621;355,18;1232;704,64;72
Navalcarnero                                ;2020/04/12 07:00:00;36;127,53;117;414,47;967
San Agustín del Guadalix                    ;2020/04/12 07:00:00;23;157,93;39;267,8;1296
Las Rozas de Madrid                         ;2020/04/12 07:00:00;224;233,7;481;501,84;1277
Moraleja de Enmedio                         ;2020/04/12 07:00:00;6;112,02;18;336,07;894
Valdaracete                                 ;2020/04/12 07:00:00;;494,23;;823,72;1551
Pozuelo del Rey                             ;2020/04/12 07:00:00;;0;;202,02;1163
Puebla de la Sierra                         ;2020/04/12 07:00:00;;0;;0;1185
Perales de Tajuña                           ;2020/04/12 07:00:00;;80,58;7;188,02;1104
Valdemorillo                                ;2020/04/12 07:00:00;15;123,75;26;214,5;1603
Navalafuente                                ;2020/04/12 07:00:00;;251,89;;377,83;941
Velilla de San Antonio                      ;2020/04/12 07:00:00;23;184,1;52;416,23;1678
Villanueva de la Cañada                     ;2020/04/12 07:00:00;18;73,82;68;278,87;1760
Villanueva del Pardillo                     ;2020/04/12 07:00:00;12;71,05;59;349,34;1776
Nuevo Baztán                                ;2020/04/12 07:00:00;7;105,31;24;361,07;1006
Villamantilla                               ;2020/04/12 07:00:00;;118,48;7;829,38;1757
Villamanta                                  ;2020/04/12 07:00:00;6;281,56;7;328,48;1744
Cabanillas de la Sierra                     ;2020/04/12 07:00:00;;690,85;9;1554,4;297
Cenicientos                                 ;2020/04/12 07:00:00;;203,98;17;866,9;376
Puentes Viejas                              ;2020/04/12 07:00:00;;218,82;;437,64;9020
Aranjuez                                    ;2020/04/12 07:00:00;135;212,83;354;558,09;133
Cercedilla                                  ;2020/04/12 07:00:00;31;414,05;69;921,6;382
Santorcaz                                   ;2020/04/12 07:00:00;;176,68;7;1236,75;1369
Coslada                                     ;2020/04/12 07:00:00;241;272,62;620;701,33;493
Morata de Tajuña                            ;2020/04/12 07:00:00;15;193,12;81;1042,87;915
Robregordo                                  ;2020/04/12 07:00:00;;0;;0;1261
Navarredonda y San Mamés                    ;2020/04/12 07:00:00;;0;;1204,82;973
Venturada                                   ;2020/04/12 07:00:00;;0;;70,82;1697
Navacerrada                                 ;2020/04/12 07:00:00;;143,47;10;358,68;936
Montejo de la Sierra                        ;2020/04/12 07:00:00;;279,33;;279,33;881
Fresno de Torote                            ;2020/04/12 07:00:00;;249,79;13;1082,43;571
Pinilla del Valle                           ;2020/04/12 07:00:00;;0;;0;1126
Valdemaqueda                                ;2020/04/12 07:00:00;;233,92;;350,88;1599
Navas del Rey                               ;2020/04/12 07:00:00;6;203,8;42;1426,63;992
Olmeda de las Fuentes                       ;2020/04/12 07:00:00;;0;;1244,81;1013
Bustarviejo                                 ;2020/04/12 07:00:00;;112,55;;281,37;284
Becerril de la Sierra                       ;2020/04/12 07:00:00;10;173,25;20;346,5;186
Fuenlabrada                                 ;2020/04/12 07:00:00;404;198,02;1186;581,33;587
Garganta de los Montes                      ;2020/04/12 07:00:00;;0;;364,96;626
Pinto                                       ;2020/04/12 07:00:00;52;97,83;174;327,36;1132
Alameda del Valle                           ;2020/04/12 07:00:00;;0;;0;35
Berzosa del Lozoya                          ;2020/04/12 07:00:00;;1315,79;;1315,79;203
Los Santos de la Humosa                     ;2020/04/12 07:00:00;;238,24;18;1072,07;1375
El Álamo                                    ;2020/04/12 07:00:00;13;131,67;33;334,24;40
Pelayos de la Presa                         ;2020/04/12 07:00:00;;150,09;15;562,85;1090
Galapagar                                   ;2020/04/12 07:00:00;49;147,72;129;388,91;611
Griñón                                      ;2020/04/12 07:00:00;22;190,54;59;511;663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/04/12 07:00:00;;0;;1027,4;632
Aldea del Fresno                            ;2020/04/12 07:00:00;;165,78;28;928,38;88
Carabaña                                    ;2020/04/12 07:00:00;;171,62;11;629,29;357
Talamanca de Jarama                         ;2020/04/12 07:00:00;13;415,07;20;638,57;1454
Chapinería                                  ;2020/04/12 07:00:00;;131,12;6;262,24;513
Ciempozuelos                                ;2020/04/12 07:00:00;33;128,57;139;541,57;409
Ajalvir                                     ;2020/04/12 07:00:00;;105,35;9;189,63;29
San Lorenzo de El Escorial                  ;2020/04/12 07:00:00;23;129,83;63;355,63;1317
Gascones                                    ;2020/04/12 07:00:00;;0;;0;647
San Martín de la Vega                       ;2020/04/12 07:00:00;18;88,39;61;299,53;1322
Móstoles                                    ;2020/04/12 07:00:00;597;273,17;1428;653,41;920
Leganés                                     ;2020/04/12 07:00:00;1126;571,84;2394;1215,8;745
Braojos                                     ;2020/04/12 07:00:00;;621,12;;1242,24;246
Cubas de la Sagra                           ;2020/04/12 07:00:00;6;108,21;18;324,62;506
Algete                                      ;2020/04/12 07:00:00;47;211,66;80;360,28;91
Mejorada del Campo                          ;2020/04/12 07:00:00;65;265,24;147;599,85;843
Loeches                                     ;2020/04/12 07:00:00;20;288,56;47;678,11;758
Parla                                       ;2020/04/12 07:00:00;224;163,86;585;427,93;1065
Fuentidueña de Tajo                         ;2020/04/12 07:00:00;;50,43;15;756,43;604
Ambite                                      ;2020/04/12 07:00:00;;601,2;6;1202,4;112
Torremocha de Jarama                        ;2020/04/12 07:00:00;;124,53;8;996,26;1533
Anchuelo                                    ;2020/04/12 07:00:00;;261,78;7;916,23;127
Los Molinos                                 ;2020/04/12 07:00:00;15;374,34;36;898,43;875
Soto del Real                               ;2020/04/12 07:00:00;23;234,79;49;500,2;1441
Valverde de Alcalá                          ;2020/04/12 07:00:00;;375,94;6;2255,64;1662
Fuente el Saz de Jarama                     ;2020/04/12 07:00:00;13;152,22;20;234,19;590
Horcajo de la Sierra-Aoslos                 ;2020/04/12 07:00:00;;1470,59;;4411,76;702
Valdeolmos-Alalpardo                        ;2020/04/12 07:00:00;;73,8;8;295,2;1625
Campo Real                                  ;2020/04/12 07:00:00;14;232,4;21;348,61;339
Valdeavero                                  ;2020/04/12 07:00:00;;94,97;7;664,77;1564
Villamanrique de Tajo                       ;2020/04/12 07:00:00;;0;;293,69;1739
Cobeña                                      ;2020/04/12 07:00:00;10;134,1;29;388,9;416
Fresnedillas de la Oliva                    ;2020/04/12 07:00:00;;73,53;;220,59;565
Valdilecha                                  ;2020/04/12 07:00:00;;196;12;470,4;1659
El Berrueco                                 ;2020/04/12 07:00:00;;778,82;7;1090,34;210
Pezuela de las Torres                       ;2020/04/12 07:00:00;;0;;384,62;1111
Villar del Olmo                             ;2020/04/12 07:00:00;;298,51;;398,01;1795
Guadarrama                                  ;2020/04/12 07:00:00;45;284,85;84;531,71;685
San Martín de Valdeiglesias                 ;2020/04/12 07:00:00;17;199,32;50;586,24;1338
Torrelodones                                ;2020/04/12 07:00:00;38;146,53;101;389,45;1527
Boadilla del Monte                          ;2020/04/12 07:00:00;73;138,16;199;376,63;225
Torrejón de Velasco                         ;2020/04/12 07:00:00;;101,24;14;354,34;1505
Villanueva de Perales                       ;2020/04/12 07:00:00;;518,67;;518,67;1782
Tielmes                                     ;2020/04/12 07:00:00;;133,16;28;1242,79;1467
San Sebastián de los Reyes                  ;2020/04/12 07:00:00;175;190,75;343;373,88;1343
Guadalix de la Sierra                       ;2020/04/12 07:00:00;12;201,17;26;435,88;679
Humanes de Madrid                           ;2020/04/12 07:00:00;28;135,87;81;393,05;730
Chinchón                                    ;2020/04/12 07:00:00;12;232,51;23;445,65;528
Cadalso de los Vidrios                      ;2020/04/12 07:00:00;;32,86;;164,31;318
Hoyo de Manzanares                          ;2020/04/12 07:00:00;9;117,48;19;248,01;724
Torrejón de la Calzada                      ;2020/04/12 07:00:00;8;92,8;21;243,59;1492
Estremera                                   ;2020/04/12 07:00:00;;164,74;;247,12;552
Corpa                                       ;2020/04/12 07:00:00;;0;6;1438,85;480
Meco                                        ;2020/04/12 07:00:00;29;207,41;114;815,33;838
Madarcos                                    ;2020/04/12 07:00:00;;0;;0;783
Zarzalejo                                   ;2020/04/12 07:00:00;;186,68;;248,91;1837
Arganda del Rey                             ;2020/04/12 07:00:00;120;207,1;269;464,24;148
Collado Mediano                             ;2020/04/12 07:00:00;7;106,5;12;182,57;468
Daganzo de Arriba                           ;2020/04/12 07:00:00;11;101,53;36;332,29;534
Manzanares El Real                          ;2020/04/12 07:00:00;15;173,05;28;323,03;822
Buitrago del Lozoya                         ;2020/04/12 07:00:00;;88,3;11;485,65;278
Valdelaguna                                 ;2020/04/12 07:00:00;;121,36;;121,36;1570
Valdepiélagos                               ;2020/04/12 07:00:00;;0;;0;1631
Casarrubuelos                               ;2020/04/12 07:00:00;;88,03;9;264,08;360
Miraflores de la Sierra                     ;2020/04/12 07:00:00;10;181,23;28;507,43;856
Paracuellos de Jarama                       ;2020/04/12 07:00:00;25;108,65;60;260,77;1049
El Vellón                                   ;2020/04/12 07:00:00;;211,27;11;774,65;1684
Lozoya                                      ;2020/04/12 07:00:00;;0;;236,97;761
Collado Villalba                            ;2020/04/12 07:00:00;122;176,11;260;375,32;474
Colmenarejo                                 ;2020/04/12 07:00:00;10;123,62;23;284,34;442
Villavieja del Lozoya                       ;2020/04/12 07:00:00;;0;;0;1821
Prádena del Rincón                          ;2020/04/12 07:00:00;;0;;0;1179
La Cabrera                                  ;2020/04/12 07:00:00;6;197,95;9;296,93;301
Sevilla la Nueva                            ;2020/04/12 07:00:00;21;211,08;34;341,74;1415
La Acebeda                                  ;2020/04/12 07:00:00;;0;;0;14
Redueña                                     ;2020/04/12 07:00:00;;0;;584,8;1219
Robledillo de la Jara                       ;2020/04/12 07:00:00;;1851,85;;1851,85;1245
La Serna del Monte                          ;2020/04/12 07:00:00;;0;;0;1381
Colmenar de Oreja                           ;2020/04/12 07:00:00;9;125,05;20;277,89;437
Rozas de Puerto Real                        ;2020/04/12 07:00:00;;255,1;;255,1;1283
Valdemanco                                  ;2020/04/12 07:00:00;;135,14;;135,14;1586
Brunete                                     ;2020/04/12 07:00:00;9;79,7;49;433,94;262
Titulcia                                    ;2020/04/12 07:00:00;;100,6;;503,02;1473
Villa del Prado                             ;2020/04/12 07:00:00;27;409,28;52;788,24;1718
Lozoyuela-Navas-Sieteiglesias               ;2020/04/12 07:00:00;;261,55;;261,55;9015
Quijorna                                    ;2020/04/12 07:00:00;;254,71;12;611,31;1198
Valdemoro                                   ;2020/04/12 07:00:00;88;115,19;553;723,84;1610
Tres Cantos                                 ;2020/04/12 07:00:00;139;289,28;248;516,13;9036
Torrelaguna                                 ;2020/04/12 07:00:00;9;177,87;14;276,68;1512
Rivas-Vaciamadrid                           ;2020/04/12 07:00:00;174;202,02;443;514,33;1230
El Atazar                                   ;2020/04/12 07:00:00;;0;;0;164
Pedrezuela                                  ;2020/04/12 07:00:00;9;162,63;15;271,05;1087
Santa María de la Alameda                   ;2020/04/12 07:00:00;;105,71;;105,71;1356
Horcajuelo de la Sierra                     ;2020/04/12 07:00:00;;0;;0;719
Arroyomolinos                               ;2020/04/12 07:00:00;58;222,32;126;482,96;151
Moralzarzal                                 ;2020/04/12 07:00:00;26;199,66;52;399,32;908
Canencia                                    ;2020/04/12 07:00:00;;271;;271;344
Villarejo de Salvanés                       ;2020/04/12 07:00:00;11;144,34;32;419,89;1809
Serranillos del Valle                       ;2020/04/12 07:00:00;9;236,9;23;605,42;1408
Villaviciosa de Odón                        ;2020/04/12 07:00:00;41;147,8;147;529,92;1816
Camarma de Esteruelas                       ;2020/04/12 07:00:00;7;98,36;35;491,78;323
Robledo de Chavela                          ;2020/04/12 07:00:00;9;238,73;12;318,3;1258
Patones                                     ;2020/04/12 07:00:00;;655,02;;873,36;1071
Navalagamella                               ;2020/04/12 07:00:00;;44,44;;222,22;954
Rascafría                                   ;2020/04/12 07:00:00;;203,67;;339,44;1202
El Boalo                                    ;2020/04/12 07:00:00;15;237,15;24;379,45;231
Majadahonda                                 ;2020/04/12 07:00:00;100;128,26;336;430,94;800
Batres                                      ;2020/04/12 07:00:00;;224,72;8;1797,75;170
Alcobendas                                  ;2020/04/12 07:00:00;220;181,5;481;396,82;66
Alcalá de Henares                           ;2020/04/12 07:00:00;463;221,48;2020;966,29;53
Colmenar Viejo                              ;2020/04/12 07:00:00;143;283,71;242;480,13;455
San Fernando de Henares                     ;2020/04/12 07:00:00;121;287,91;298;709,07;1300
Villalbilla                                 ;2020/04/12 07:00:00;11;98,43;81;724,83;1723
El Escorial                                 ;2020/04/12 07:00:00;13;78,2;45;270,71;549
Colmenar del Arroyo                         ;2020/04/12 07:00:00;;0;;259,24;421
Torrejón de Ardoz                           ;2020/04/12 07:00:00;186;134,5;807;583,56;1489
Piñuécar-Gandullas                          ;2020/04/12 07:00:00;;0;;0;1147
Brea de Tajo                                ;2020/04/12 07:00:00;;272,11;;408,16;259
El Molar                                    ;2020/04/12 07:00:00;14;145,92;24;250,16;869
Belmonte de Tajo                            ;2020/04/12 07:00:00;;0;;144,61;199
Torres de la Alameda                        ;2020/04/12 07:00:00;20;242,72;57;691,75;1548
Somosierra                                  ;2020/04/12 07:00:00;;1612,9;;1612,9;1436
Alpedrete                                   ;2020/04/12 07:00:00;27;187,07;72;498,86;105
Orusco de Tajuña                            ;2020/04/12 07:00:00;8;724,64;16;1449,28;1028
La Hiruela                                  ;2020/04/12 07:00:00;;9090,91;;9090,91;698
Cervera de Buitrago                         ;2020/04/12 07:00:00;;925,93;;1851,85;395
Getafe                                      ;2020/04/12 07:00:00;352;183,91;860;449,33;650
Ribatejada                                  ;2020/04/12 07:00:00;;0;;227,79;1224
Villaconejos                                ;2020/04/12 07:00:00;;22,54;8;180,34;1701
Valdetorres de Jarama                       ;2020/04/12 07:00:00;;100,58;12;301,73;1646
Madrid-Retiro                               ;2020/04/11 07:00:00;387;400,49;1079;1116,61;79603
Madrid-Salamanca                            ;2020/04/11 07:00:00;388;246,6;1130;718,19;79604
Madrid-Centro                               ;2020/04/11 07:00:00;311;218,66;779;547,71;79601
Madrid-Arganzuela                           ;2020/04/11 07:00:00;424;237,67;1132;634,52;79602
Madrid-Chamartín                            ;2020/04/11 07:00:00;431;293,43;1111;756,37;79605
Madrid-Tetuán                               ;2020/04/11 07:00:00;677;414,12;1542;943,25;79606
Madrid-Chamberí                             ;2020/04/11 07:00:00;382;257,27;996;670,79;79607
Madrid-Fuencarral-El Pardo                  ;2020/04/11 07:00:00;963;428,88;2112;940,59;79608
Madrid-Moncloa-Aravaca                      ;2020/04/11 07:00:00;327;257,72;843;664,39;79609
Madrid-Latina                               ;2020/04/11 07:00:00;676;270,86;1855;743,28;79610
Madrid-Carabanchel                          ;2020/04/11 07:00:00;584;237;1794;728,03;79611
Madrid-Usera                                ;2020/04/11 07:00:00;327;220,27;1059;713,36;79612
Madrid-Puente de Vallecas                   ;2020/04/11 07:00:00;919;359,36;2320;907,19;79613
Madrid-San Blas - Canillejas                ;2020/04/11 07:00:00;395;284,43;1039;748,15;79620
Madrid-Barajas                              ;2020/04/11 07:00:00;132;250,56;325;616,92;79621
Madrid-Moratalaz                            ;2020/04/11 07:00:00;410;312,6;1009;769,3;79614
Madrid-Ciudad Lineal                        ;2020/04/11 07:00:00;652;246,36;1571;593,6;79615
Madrid-Hortaleza                            ;2020/04/11 07:00:00;500;236,66;1287;609,16;79616
Madrid-Villaverde                           ;2020/04/11 07:00:00;306;192,4;1059;665,86;79617
Madrid-Villa de Vallecas                    ;2020/04/11 07:00:00;296;277,6;984;922,83;79618
Madrid-Vicálvaro                            ;2020/04/11 07:00:00;257;488,16;625;1187,15;79619
Pozuelo de Alarcón                          ;2020/04/11 07:00:00;113;127,97;436;493,77;1150
Alcorcón                                    ;2020/04/11 07:00:00;611;349,46;1219;697,2;72
Navalcarnero                                ;2020/04/11 07:00:00;34;120,44;114;403,84;967
San Agustín del Guadalix                    ;2020/04/11 07:00:00;17;116,73;34;233,47;1296
Las Rozas de Madrid                         ;2020/04/11 07:00:00;220;229,53;473;493,49;1277
Moraleja de Enmedio                         ;2020/04/11 07:00:00;6;112,02;18;336,07;894
Valdaracete                                 ;2020/04/11 07:00:00;;494,23;;823,72;1551
Pozuelo del Rey                             ;2020/04/11 07:00:00;;0;;202,02;1163
Puebla de la Sierra                         ;2020/04/11 07:00:00;;0;;0;1185
Perales de Tajuña                           ;2020/04/11 07:00:00;;80,58;6;161,16;1104
Valdemorillo                                ;2020/04/11 07:00:00;15;123,75;26;214,5;1603
Navalafuente                                ;2020/04/11 07:00:00;;251,89;;377,83;941
Velilla de San Antonio                      ;2020/04/11 07:00:00;23;184,1;52;416,23;1678
Villanueva de la Cañada                     ;2020/04/11 07:00:00;19;77,92;68;278,87;1760
Villanueva del Pardillo                     ;2020/04/11 07:00:00;11;65,13;59;349,34;1776
Nuevo Baztán                                ;2020/04/11 07:00:00;7;105,31;24;361,07;1006
Villamantilla                               ;2020/04/11 07:00:00;;118,48;7;829,38;1757
Villamanta                                  ;2020/04/11 07:00:00;6;281,56;7;328,48;1744
Cabanillas de la Sierra                     ;2020/04/11 07:00:00;;690,85;9;1554,4;297
Cenicientos                                 ;2020/04/11 07:00:00;;203,98;16;815,91;376
Puentes Viejas                              ;2020/04/11 07:00:00;;0;;218,82;9020
Aranjuez                                    ;2020/04/11 07:00:00;145;228,59;350;551,78;133
Cercedilla                                  ;2020/04/11 07:00:00;31;414,05;68;908,24;382
Santorcaz                                   ;2020/04/11 07:00:00;;176,68;7;1236,75;1369
Coslada                                     ;2020/04/11 07:00:00;236;266,96;614;694,55;493
Morata de Tajuña                            ;2020/04/11 07:00:00;16;206;80;1030;915
Robregordo                                  ;2020/04/11 07:00:00;;0;;0;1261
Navarredonda y San Mamés                    ;2020/04/11 07:00:00;;0;;1204,82;973
Venturada                                   ;2020/04/11 07:00:00;;0;;70,82;1697
Navacerrada                                 ;2020/04/11 07:00:00;;107,6;9;322,81;936
Montejo de la Sierra                        ;2020/04/11 07:00:00;;279,33;;279,33;881
Fresno de Torote                            ;2020/04/11 07:00:00;;249,79;13;1082,43;571
Pinilla del Valle                           ;2020/04/11 07:00:00;;0;;0;1126
Valdemaqueda                                ;2020/04/11 07:00:00;;233,92;;350,88;1599
Navas del Rey                               ;2020/04/11 07:00:00;6;203,8;42;1426,63;992
Olmeda de las Fuentes                       ;2020/04/11 07:00:00;;0;;1244,81;1013
Bustarviejo                                 ;2020/04/11 07:00:00;;168,82;;281,37;284
Becerril de la Sierra                       ;2020/04/11 07:00:00;10;173,25;20;346,5;186
Fuenlabrada                                 ;2020/04/11 07:00:00;396;194,1;1176;576,43;587
Garganta de los Montes                      ;2020/04/11 07:00:00;;0;;364,96;626
Pinto                                       ;2020/04/11 07:00:00;53;99,71;173;325,48;1132
Alameda del Valle                           ;2020/04/11 07:00:00;;0;;0;35
Berzosa del Lozoya                          ;2020/04/11 07:00:00;;1315,79;;1315,79;203
Los Santos de la Humosa                     ;2020/04/11 07:00:00;;238,24;18;1072,07;1375
El Álamo                                    ;2020/04/11 07:00:00;10;101,29;30;303,86;40
Pelayos de la Presa                         ;2020/04/11 07:00:00;;150,09;15;562,85;1090
Galapagar                                   ;2020/04/11 07:00:00;49;147,72;128;385,89;611
Griñón                                      ;2020/04/11 07:00:00;22;190,54;58;502,34;663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/04/11 07:00:00;;0;;1027,4;632
Aldea del Fresno                            ;2020/04/11 07:00:00;;165,78;28;928,38;88
Carabaña                                    ;2020/04/11 07:00:00;;228,83;11;629,29;357
Talamanca de Jarama                         ;2020/04/11 07:00:00;13;415,07;20;638,57;1454
Chapinería                                  ;2020/04/11 07:00:00;;131,12;6;262,24;513
Ciempozuelos                                ;2020/04/11 07:00:00;35;136,37;139;541,57;409
Ajalvir                                     ;2020/04/11 07:00:00;;105,35;9;189,63;29
San Lorenzo de El Escorial                  ;2020/04/11 07:00:00;22;124,19;62;349,99;1317
Gascones                                    ;2020/04/11 07:00:00;;0;;0;647
San Martín de la Vega                       ;2020/04/11 07:00:00;16;78,57;59;289,71;1322
Móstoles                                    ;2020/04/11 07:00:00;597;273,17;1412;646,09;920
Leganés                                     ;2020/04/11 07:00:00;1116;566,76;2388;1212,75;745
Braojos                                     ;2020/04/11 07:00:00;;621,12;;1242,24;246
Cubas de la Sagra                           ;2020/04/11 07:00:00;6;108,21;18;324,62;506
Algete                                      ;2020/04/11 07:00:00;46;207,16;78;351,27;91
Mejorada del Campo                          ;2020/04/11 07:00:00;63;257,08;146;595,77;843
Loeches                                     ;2020/04/11 07:00:00;21;302,99;46;663,68;758
Parla                                       ;2020/04/11 07:00:00;222;162,39;581;425;1065
Fuentidueña de Tajo                         ;2020/04/11 07:00:00;;50,43;15;756,43;604
Ambite                                      ;2020/04/11 07:00:00;;601,2;6;1202,4;112
Torremocha de Jarama                        ;2020/04/11 07:00:00;;124,53;8;996,26;1533
Anchuelo                                    ;2020/04/11 07:00:00;;261,78;7;916,23;127
Los Molinos                                 ;2020/04/11 07:00:00;15;374,34;36;898,43;875
Soto del Real                               ;2020/04/11 07:00:00;23;234,79;49;500,2;1441
Valverde de Alcalá                          ;2020/04/11 07:00:00;;375,94;6;2255,64;1662
Fuente el Saz de Jarama                     ;2020/04/11 07:00:00;14;163,93;20;234,19;590
Horcajo de la Sierra-Aoslos                 ;2020/04/11 07:00:00;;1470,59;;4411,76;702
Valdeolmos-Alalpardo                        ;2020/04/11 07:00:00;;73,8;8;295,2;1625
Campo Real                                  ;2020/04/11 07:00:00;13;215,8;20;332,01;339
Valdeavero                                  ;2020/04/11 07:00:00;;94,97;7;664,77;1564
